File description:;geoCore input file containing layout configuration information;;;;;;;;;;;
File purpose:;The file represents the authoratative catalogue of all layout configurations defined for the project;;;;;;;;;;;
File naming:;"""input_layout_{area_code}.csv""";;;;;;;;;;;
File format:;"Shall be saved in the Geolog directory: ""G:\01_Departments\GTSC\Geolog\projects\{area_code}\data\input_files""";;;;;;;;;;;
"Supporting documentation:""";See geodb-connect repository doucmentation;;;;;;;;;;;
;;;;;;;;;;;;
***revision_history;;;;;;;;;;;;
date;author;accuracy_level;checked;QA_level;document_number;reviewed;accepted;restrictions;changelog;;;
20260715;JONWH;3;JONWH;1;;;;;First version;;;
;;;;;;;;;;;;
::revision_history;Keeps track of input_file revision history;;;;;;;;;;;
:date;Date of creation or modification of the file (yyyymmdd);;;;;;;;;;;
:author;Initials of the GA engineer taking responsibility for the document content;;;;;;;;;;;
:accuracy_level;An accuracy level (0-5) shall be assigned to the technical documentation relative to the project phases;;;;;;;;;;;
:accuracy_level.choice;0;Design Calculations: Preliminary. Based on regional experience and/or approximate conditions described.;;;;;;;;;;
:;;Examples of use: Determining whether a project can be outright rejected.;;;;;;;;;;
:accuracy_level.choice;1;Design Calculations: Preliminary. Based on estimates of suitable parameters from similar/neighbouring projects.;;;;;;;;;;
:;;Examples of use: Determine possible foundation concepts and preliminary budgets in early project development phases.;;;;;;;;;;
:accuracy_level.choice;2;Design Calculations: Preliminary. Based on estimated stratigraphy combined with site-specific global parameters (GT1).;;;;;;;;;;
:;;Examples of use: Diameter study;;;;;;;;;;
:accuracy_level.choice;3;Design Calculations: Detailed. Based on position specific stratigraphy and soil parameters (GT2); input parameters still not fully finalised.;;;;;;;;;
:;;Examples of use: Detailed design calculations;;;;;;;;;;
:accuracy_level.choice;4;Design Calculations: Detailed. Based on detailed position specific stratigraphy and soil parameters; input parameters not necessarily documented or certified.;;;;;;;;;
:;;Examples of use: Detailed design calculations;;;;;;;;;;
:accuracy_level.choice;5;Design Calculations: Detailed. Based on certified stratigraphy and input parameters.;;;;;;;;;;
:;;Examples of use: Final design calculations. Steel order.;;;;;;;;;;
:checked;Initials of GA lead engineer performing quality control and assurance of the document;;;;;;;;;;;
:QA_level;A QA framework (1-3) shall be considered in relation to the WTG foundation design process;;;;;;;;;;;
:QA_level.choice;1;Must always be performed.;;;;;;;;;;
:;;QA responsible: Preparer (self-check) - All geotechnical engineers (juniors to be assisted by appointed engineer).;;;;;;;;;;
:QA_level.choice;2;For any deliverable outside Ørsted's GEO dept.;;;;;;;;;;
:;;QA responsible: Reviewer - Senior specialist appointed by line manager.;;;;;;;;;;
:QA_level.choice;3;For any deliverable outside Ørsted (e.g. to certification organisations;;;;;;;;;;
:;;QA responsible: Reviewer - Senior Specialist appointed by line manager.;;;;;;;;;;
:document_number;Associated DORECO document number;;;;;;;;;;;
:reviewed;Initials of senior specialist performing independent QA of input file content;;;;;;;;;;;
:accepted;Initials of line management or senior specialist approval of ensuring consistent quality;;;;;;;;;;;
:restrictions;Restrictions on use of the file;;;;;;;;;;;
:changelog;Detail description of changes and motivation behind the changes introduced in this version of the file;;;;;;;;;;;
;;;;;;;;;;;;
**layout_details;;;;;;;;;;;;
OWF01;;;;;;;;;;;;
index;layout_code;layout_name;layout_status_code;effective_date;description;;;;;;;
-;text;text;text;yyyymmdd;text;;;;;;;
0;L000;OWF01 placeholder layout;SUP;20260710;Placeholder layout - actual layout configuration data is not yet available for this project;;;;;;;
1;L001;OWF01 preliminary layout;SUP;20260711;Initial layout configuration, with GBS in shallow areas, MPs in intermediate depth areas, SBJs in soft clay areas, and a PJ for the OSS;;;;;;;
2;L002;OWF01 current layout;CUR;20260712;GBS replaced with MPs following value engineering;;;;;;;
3;L003;OWF01 proposed layout;PROP;20260715;Exploring option for OSS MP instead of PJ;;;;;;;
;;;;;;;;;;;;
::layout_details;table containing offshore wind farm array area layout configuration;;;;;;;;;;;
:index;;;;;;;;;;;;
:layout_code;unique alpha-numeric code assigned to an array area layout configuration;;;;;;;;;;;
:layout_name;;;;;;;;;;;;
:layout_status;status of layout configuration;;;;;;;;;;;
:layout_status.choice;ASB;as-built;;;;;;;;;;
:layout_status.choice;CUR;current;;;;;;;;;;
:layout_status.choice;PLC;placeholder;;;;;;;;;;
:layout_status.choice;PROP;proposed;;;;;;;;;;
:layout_status.choice;SUP;superseded;;;;;;;;;;
:effective_date;;;;;;;;;;;;
:description;;;;;;;;;;;;
;;;;;;;;;;;;
**layout_configuration;;;;;;;;;;;;
OWF01 L001;;;;;;;;;;;;
index;asset_name;eastings;northings;seabed_level;water_level;asset_type;foundation_type;parent_asset_name;jacket_leg_label;rdspp_code;alt_code;comments
